"state","chamber","name","num_legislators","boundary"
"ar","lower",87,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",88,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",89,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",90,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",91,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",92,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",93,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",94,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",95,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",96,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",97,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",98,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",99,1,"sldl-ar-state-house-district-%(name)s"
"ar","lower",100,1,"sldl-ar-state-house-district-%(name)s"
"ar","upper",1,1,"sldu-ar-state-senate-district-%(name)s"
"ar","upper",2,1,"sldu-ar-state-senate-district-%(name)s"
"ar","upper",3,1,"sldu-ar-state-senate-district-%(name)s"
"ar","upper",4,1,"sldu-ar-state-senate-district-%(name)s"
"ar","upper",5,1,"sldu-ar-state-senate-district-%(name)s"
"ar","upper",6,1,"sldu-ar-state-senate-district-%(name)s"
"ar","upper",7,1,"sldu-ar-state-senate-district-%(name)s"
"ar","upper",8,1,"sldu-ar-state-senate-district-%(name)s"
"ar","upper",9,1,"sldu-ar-state-senate-district-%(name)s"
"ar","upper",10,1,"sldu-ar-state-senate-district-%(name)s"
"ar","upper",11,1,"sldu-ar-state-senate-district-%(name)s"
"ar","upper",12,1,"sldu-ar-state-senate-district-%(name)s"
"ar","upper",13,1,"sldu-ar-state-senate-district-%(name)s"
"ar","upper",14,1,"sldu-ar-state-senate-district-%(name)s"
"ar","upper",15,1,"sldu-ar-state-senate-district-%(name)s"
"ar","upper",16,1,"sldu-ar-state-senate-district-%(name)s"
"ar","upper",17,1,"sldu-ar-state-senate-district-%(name)s"
"ar","upper",18,1,"sldu-ar-state-senate-district-%(name)s"
"ar","upper",19,1,"sldu-ar-state-senate-district-%(name)s"
"ar","upper",20,1,"sldu-ar-state-senate-district-%(name)s"
"ar","upper",21,1,"sldu-ar-state-senate-district-%(name)s"
"ar","upper",22,1,"sldu-ar-state-senate-district-%(name)s"
"ar","upper",23,1,"sldu-ar-state-senate-district-%(name)s"
"ar","upper",24,1,"sldu-ar-state-senate-district-%(name)s"
"ar","upper",25,1,"sldu-ar-state-senate-district-%(name)s"
"ar","upper",26,1,"sldu-ar-state-senate-district-%(name)s"
"ar","upper",27,1,"sldu-ar-state-senate-district-%(name)s"
"ar","upper",28,1,"sldu-ar-state-senate-district-%(name)s"
"ar","upper",29,1,"sldu-ar-state-senate-district-%(name)s"
"ar","upper",30,1,"sldu-ar-state-senate-district-%(name)s"
"ar","upper",31,1,"sldu-ar-state-senate-district-%(name)s"
"ar","upper",32,1,"sldu-ar-state-senate-district-%(name)s"
"ar","upper",33,1,"sldu-ar-state-senate-district-%(name)s"
"ar","upper",34,1,"sldu-ar-state-senate-district-%(name)s"
"ar","upper",35,1,"sldu-ar-state-senate-district-%(name)s"
