"term","chamber","name","leg_id"
"2011-2012","upper","ABDUL-SALAAM, 74TH","GAL000055"
"2011-2012","lower","ABDUL-SALAAM, 74TH","GAL000055"
"2011-2012","lower","ABRAMS, 84TH","GAL000056"
"2011-2012","upper","ABRAMS, 84TH","GAL000056"
"2011-2012","lower","ALBERS, 56TH","GAL000001"
"2011-2012","upper","ALBERS, 56TH","GAL000001"
,"lower","Alisah Thomas Morgan","GAL000168"
"2011-2012","upper","ALLISON, 8TH","GAL000057"
"2011-2012","lower","ALLISON, 8TH","GAL000057"
"2011-2012","lower","AMERSON, 9TH","GAL000058"
"2011-2012","upper","AMERSON, 9TH","GAL000058"
"2011-2012","upper","ANDERSON, 117TH","GAL000059"
"2011-2012","lower","ANDERSON, 117TH","GAL000059"
"2011-2012","lower","ASHE, 56TH","GAL000060"
"2011-2012","upper","ASHE, 56TH","GAL000060"
"2011-2012","upper","ATWOOD, 179TH","GAL000061"
"2011-2012","lower","ATWOOD, 179TH","GAL000061"
"2011-2012","lower","AUSTIN, 10TH","GAL000062"
"2011-2012","upper","AUSTIN, 10TH","GAL000062"
"2011-2012","lower","BAKER, 78TH","GAL000063"
"2011-2012","upper","BAKER, 78TH","GAL000063"
"2011-2012","upper","BALFOUR, 9TH","GAL000002"
"2011-2012","lower","BALFOUR, 9TH","GAL000002"
"2011-2012","upper","BATTLES, 15TH","GAL000064"
"2011-2012","lower","BATTLES, 15TH","GAL000064"
"2011-2012","lower","BEARDEN, 68TH","GAL000065"
"2011-2012","upper","BEARDEN, 68TH","GAL000065"
"2011-2012","lower","BEASLEY-TEAGUE, 65TH","GAL000066"
"2011-2012","upper","BEASLEY-TEAGUE, 65TH","GAL000066"
"2011-2012","upper","BELL, 58TH","GAL000067"
"2011-2012","lower","BELL, 58TH","GAL000067"
"2011-2012","upper","BENFIELD, 85TH","GAL000068"
"2011-2012","lower","BENFIELD, 85TH","GAL000068"
"2011-2012","lower","Benfield, Stephanie","GAL000068"
"2011-2012","lower","BENTON, 31ST","GAL000069"
"2011-2012","upper","BENTON, 31ST","GAL000069"
"2011-2012","upper","BETHEL, 54TH","GAL000003"
"2011-2012","lower","BETHEL, 54TH","GAL000003"
"2011-2012","upper","BEVERLY, 139TH","GAL000070"
"2011-2012","lower","BEVERLY, 139TH","GAL000070"
"2011-2012","lower","BLACK, 174TH","GAL000071"
"2011-2012","upper","BLACK, 174TH","GAL000071"
,"lower","Bobby Franklin",
"2011-2012","lower","BRADDOCK, 19TH","GAL000072"
"2011-2012","upper","BRADDOCK, 19TH","GAL000072"
"2011-2012","lower","Braddock, Paulette","GAL000072"
"2011-2012","upper","BROCKWAY, 101ST","GAL000073"
"2011-2012","lower","BROCKWAY, 101ST","GAL000073"
"2011-2012","lower","BROOKS, 63RD","GAL000074"
"2011-2012","upper","BROOKS, 63RD","GAL000074"
"2011-2012","upper","BROWN, 26TH",
"2011-2012","lower","BROWN, 26TH",
,"upper","Brown, Robert",
"2011-2012","upper","Brown, Robert",
"2011-2012","upper","BRUCE, 64TH","GAL000075"
"2011-2012","lower","BRUCE, 64TH","GAL000075"
"2011-2012","upper","BRYANT, 160TH","GAL000076"
"2011-2012","lower","BRYANT, 160TH","GAL000076"
"2011-2012","upper","BUCKNER, 130TH","GAL000077"
"2011-2012","lower","BUCKNER, 130TH","GAL000077"
"2011-2012","lower","BULLOCH, 11TH","GAL000004"
"2011-2012","upper","BULLOCH, 11TH","GAL000004"
"2011-2012","lower","BURNS, 157TH","GAL000078"
"2011-2012","upper","BURNS, 157TH","GAL000078"
"2011-2012","upper","BUTLER, 55TH","GAL000005"
"2011-2012","lower","BUTLER, 55TH","GAL000005"
"2011-2012","upper","Butler, Gloria","GAL000005"
"2011-2012","upper","BUTTERWORTH, 50TH",
"2011-2012","lower","BUTTERWORTH, 50TH",
"2011-2012","lower","Butterworth, Jim",
"2011-2012","upper","Butterworth, Jim",
,"upper","Butterworth, Jim",
"2011-2012","upper","BYRD, 20TH","GAL000079"
"2011-2012","lower","BYRD, 20TH","GAL000079"
"2011-2012","lower","CARTER, 175TH","GAL000080"
"2011-2012","upper","CARTER, 175TH","GAL000080"
"2011-2012","upper","CARTER, 1ST","GAL000006"
"2011-2012","lower","CARTER, 1ST","GAL000006"
"2011-2012","lower","CARTER, 42ND","GAL000007"
"2011-2012","upper","CARTER, 42ND","GAL000007"
"2011-2012","lower","Carter, Earl Buddy","GAL000006"
"2011-2012","upper","Carter, Earl Buddy","GAL000006"
"2011-2012","lower","CASAS, 103RD","GAL000081"
"2011-2012","upper","CASAS, 103RD","GAL000081"
"2011-2012","upper","CHANCE, 16TH","GAL000008"
"2011-2012","lower","CHANCE, 16TH","GAL000008"
"2011-2012","lower","CHANNELL, 116TH","GAL000082"
"2011-2012","upper","CHANNELL, 116TH","GAL000082"
"2011-2012","lower","CHEOKAS, 134TH","GAL000083"
"2011-2012","upper","CHEOKAS, 134TH","GAL000083"
"2011-2012","upper","CLARK, 104TH","GAL000085"
"2011-2012","lower","CLARK, 104TH","GAL000085"
"2011-2012","lower","CLARK, 98TH","GAL000084"
"2011-2012","upper","CLARK, 98TH","GAL000084"
"2011-2012","lower","COLEMAN, 97TH","GAL000086"
"2011-2012","upper","COLEMAN, 97TH","GAL000086"
"2011-2012","upper","COLLINS, 27TH","GAL000087"
"2011-2012","lower","COLLINS, 27TH","GAL000087"
"2011-2012","lower","COOKE, 18TH","GAL000088"
"2011-2012","upper","COOKE, 18TH","GAL000088"
"2011-2012","lower","COOMER, 14TH","GAL000089"
"2011-2012","upper","COOMER, 14TH","GAL000089"
"2011-2012","upper","COOPER, 41ST","GAL000090"
"2011-2012","lower","COOPER, 41ST","GAL000090"
