	lower	John Lundberg	TNL000083
107	lower	Williams K	TNL000128
	lower	David Hawk	TNL000071
107	lower	Ford	TNL000061
	lower	Michael Harrison	TNL000069
107	lower	Miller D	TNL000092
	lower	Ryan Haynes	TNL000072
	lower	Ryan Haynes Vice-Chair	TNL000072
107	lower	Haynes	TNL000072
	lower	Frank Niceley	TNL000097
107	lower	Brooks H	TNL000037
	lower	Bob Ramsey Chair	TNL000105
107	lower	Ramsey	TNL000105
107	lower	Watson	TNL000125
107	lower	Brooks K	TNL000038
	lower	Dennis Roach	TNL000108
	lower	Terry Lynn Weaver	TNL000126
107	lower	Williams R	TNL000129
	lower	Charles Curtiss	TNL000048
	lower	Michael McDonald	TNL000090
	lower	Debra Maggart	TNL000084
	lower	Gary Moore	TNL000095
107	lower	Turner M	TNL000124
107	lower	Stewart	TNL000117
	lower	Janis Sontany	TNL000115
107	lower	Madam Speaker Harwell	TNL000070
	lower	Mary Pruit	TNL000103
107	lower	Jones S	TNL000079
	lower	Charles Sargent	TNL000110
	lower	Pat Marsh Secretary	TNL000085
107	lower	Johnson C	TNL000077
	lower	Jim Eldridge	TNL000055
	lower	John Tidwell	TNL000119
107	lower	Johnson P	TNL000078
	lower	Jimmy Naifeh	TNL000096
	lower	Mark  White	TNL000127
107	lower	Turner J	TNL000123
	lower	Barbara Cooper	TNL000047
107	lower	Cooper B	TNL000047
	lower	Karen Camper	TNL000042
	lower	Larry Miller	TNL000093
107	lower	Miller L	TNL000093
	lower	John DeBerry	TNL000050
107	lower	DeBerry J	TNL000050
107	lower	DeBerry L	TNL000051
	lower	Antonio Parkinson	TNL000099
	joint	Barbara Cooper	TNL000047
	joint	Becky Massey	TNL000021
	joint	Charles Sargent	TNL000110
	joint	Debra Maggart	TNL000084
	joint	Jimmy Naifeh	TNL000096
	joint	Rep. Charles Sargent	TNL000110
	joint	Rep. Curtis Johnson	TNL000077
	joint	Ryan Haynes	TNL000013
	joint	Sen. Bill Ketron	TNL000018
	joint	Sen. Randy McNally	TNL000022
	upper	Becky Massey	TNL000021
	upper	Dolores Gresham	TNL000011
107	lower	Finney L	TNL000009
107	lower	Johnson	TNL000077
107	upper	Brooks H	TNL000037
107	upper	Brooks K	TNL000038
107	upper	Cooper B	TNL000047
107	upper	DeBerry J	TNL000050
107	upper	DeBerry L	TNL000051
107	upper	Finney L	TNL000009
107	upper	Ford	TNL000010
107	upper	Haynes	TNL000013
107	upper	Johnson	TNL000016
107	lower	Johnson C	TNL000077
107	upper	Johnson P	TNL000078
107	upper	Jones S	TNL000079
107	upper	Miller D	TNL000092
107	upper	Miller L	TNL000093
107	upper	Mr. Speaker Ramsey	TNL000025
107	upper	Ramsey	TNL000025
107	upper	Stewart	TNL000028
107	upper	Turner J	TNL000123
107	upper	Turner M	TNL000124
107	upper	Watson	TNL000028
107	upper	Williams K	TNL000128
107	upper	Williams R	TNL000129
