"State","Chamber","Census Name","Our Name"
"mn","lower","State House District 10A","10A"
"mn","lower","State House District 10B","10B"
"mn","lower","State House District 11A","11A"
"mn","lower","State House District 11B","11B"
"mn","lower","State House District 12A","12A"
"mn","lower","State House District 12B","12B"
"mn","lower","State House District 13A","13A"
"mn","lower","State House District 13B","13B"
"mn","lower","State House District 14A","14A"
"mn","lower","State House District 14B","14B"
"mn","lower","State House District 15A","15A"
"mn","lower","State House District 15B","15B"
"mn","lower","State House District 16A","16A"
"mn","lower","State House District 16B","16B"
"mn","lower","State House District 17A","17A"
"mn","lower","State House District 17B","17B"
"mn","lower","State House District 18A","18A"
"mn","lower","State House District 18B","18B"
"mn","lower","State House District 19A","19A"
"mn","lower","State House District 19B","19B"
"mn","lower","State House District 1A","01A"
"mn","lower","State House District 1B","01B"
"mn","lower","State House District 20A","20A"
"mn","lower","State House District 20B","20B"
"mn","lower","State House District 21A","21A"
"mn","lower","State House District 21B","21B"
"mn","lower","State House District 22A","22A"
"mn","lower","State House District 22B","22B"
"mn","lower","State House District 23A","23A"
"mn","lower","State House District 23B","23B"
"mn","lower","State House District 24A","24A"
"mn","lower","State House District 24B","24B"
"mn","lower","State House District 25A","25A"
"mn","lower","State House District 25B","25B"
"mn","lower","State House District 26A","26A"
"mn","lower","State House District 26B","26B"
"mn","lower","State House District 27A","27A"
"mn","lower","State House District 27B","27B"
"mn","lower","State House District 28A","28A"
"mn","lower","State House District 28B","28B"
"mn","lower","State House District 29A","29A"
"mn","lower","State House District 29B","29B"
"mn","lower","State House District 2A","02A"
"mn","lower","State House District 2B","02B"
"mn","lower","State House District 30A","30A"
"mn","lower","State House District 30B","30B"
"mn","lower","State House District 31A","31A"
"mn","lower","State House District 31B","31B"
"mn","lower","State House District 32A","32A"
"mn","lower","State House District 32B","32B"
"mn","lower","State House District 33A","33A"
"mn","lower","State House District 33B","33B"
"mn","lower","State House District 34A","34A"
"mn","lower","State House District 34B","34B"
"mn","lower","State House District 35A","35A"
"mn","lower","State House District 35B","35B"
"mn","lower","State House District 36A","36A"
"mn","lower","State House District 36B","36B"
"mn","lower","State House District 37A","37A"
